code,META_LoincName,META_ReferenceUnit,META_DataType,raw_value_exact,row_count
INFLUBQLPCR//40982-1,Influenza virus B RNA [Presence] in Specimen by NAA with probe detection,,Category,Not Detected,50630
INFLUAQLPCR//34487-9,Influenza virus A RNA [Presence] in Specimen by NAA with probe detection,,Category,Not Detected,49946
UABACTERIA//25145-4,Bacteria [Presence] in Urine sediment by Light microscopy,,Category,Present,42627
CMVQPCRALPHA//30246-3,Cytomegalovirus DNA [Presence] in Serum or Plasma by NAA with probe detection,,Category,Not Detected,41457
BILITOT//1975-2,Bilirubin.total [Mass/volume] in Serum or Plasma,mg/dL,Number,<0.2,35679
GFRESTNOAA//48642-3,"Glomerular filtration rate/1.73 sq M.predicted among non-blacks [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (MDRD)",,Number,>89,35474
HEPBSURAG//5196-1,Hepatitis B virus surface Ag [Presence] in Serum or Plasma by Immunoassay,,Category,Nonreactive,28958
PROTCLUR//20454-5,Protein [Presence] in Urine by Test strip,,Category,1+,28861
PROTCLUR//20454-5,Protein [Presence] in Urine by Test strip,,Category,Trace,27373
HIV12AGABSCR//56888-1,HIV 1+2 Ab+HIV1 p24 Ag [Presence] in Serum or Plasma by Immunoassay,,Category,Nonreactive,24956
HCVABSCN//13955-0,Hepatitis C virus Ab [Presence] in Serum or Plasma by Immunoassay,,Category,Nonreactive,24324
TROPONIN//10839-9,Troponin I.cardiac [Mass/volume] in Serum or Plasma,ng/mL,Number,<0.04,24116
CARBHGBPOC//2031-3,Carboxyhemoglobin/Hemoglobin.total in Capillary blood,%,Number,<1.0,21201
CRP//1988-5,C reactive protein [Mass/volume] in Serum or Plasma,mg/dL,Number,<0.3,20152
LEUKESTUR//105103-6,Leukocyte esterase [Presence] in Urine,,Category,3+,19055
BACULUR//630-4,Bacteria identified in Urine by Culture,,Category,No Growth at 1:1000 dilution,18875
BACULUR//630-4,Bacteria identified in Urine by Culture,,Category,No Significant Growth,18060
PHUR//5803-2,pH of Urine by Test strip,,Number,<=5.0,17512
NITRITEUR//20407-3,Nitrite [Mass/volume] in Urine by Test strip,,,Negative,17426
BLDUR//105906-2,Blood [Presence] in Urine,,Category,1+,17156
BLDUR//105906-2,Blood [Presence] in Urine,,Category,Trace,16224
BILIUR//5770-3,Bilirubin.total [Presence] in Urine by Test strip,,,Negative,15417
GFREST//33914-3,Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum or Plasma by Creatinine-based formula (MDRD),,,>89,15008
GLUCOSEUR//25428-4,Glucose [Presence] in Urine by Test strip,,,Negative,14392
KETONESUR//2514-8,Ketones [Presence] in Urine by Test strip,,,Negative,14355
INFLUBQLPCR//76080-1,Influenza virus B RNA [Presence] in Nasopharynx by NAA with probe detection,,Category,Not Detected,14109
FUCUL//580-1,Fungus identified in Specimen by Culture,,Category,Negative,14020
INFLUAQLPCR//76078-5,Influenza virus A RNA [Presence] in Nasopharynx by NAA with probe detection,,Category,Not Detected,13929
NGONPCR//24111-7,Neisseria gonorrhoeae DNA [Presence] in Specimen by NAA with probe detection,,Category,Negative,13531
CHLAMPCR//43404-3,Chlamydia trachomatis DNA [Presence] in Specimen by Probe with signal amplification,,Category,Negative,13526
RPR//20507-0,Reagin Ab [Presence] in Serum by RPR,,Category,Nonreactive,13372
PREGTESTUR//2106-3,Choriogonadotropin (pregnancy test) [Presence] in Urine,,Category,Negative,13240
BLDUR//20409-9,Erythrocytes [#/volume] in Urine by Test strip,,,Negative,12690
HEPANTIXAUFH//3274-8,Heparin unfractionated [Units/volume] in Platelet poor plasma by Chromogenic method,IU/mL,Number,<0.10,12572
RSVQLPCR//40988-8,Respiratory syncytial virus RNA [Presence] in Specimen by NAA with probe detection,,Category,Not Detected,12463
PROTCLUR//20454-5,Protein [Presence] in Urine by Test strip,,Category,2+,12353
LEUKESTUR//105103-6,Leukocyte esterase [Presence] in Urine,,Category,Trace,12209
MTBQFNGOLD//71773-6,Mycobacterium tuberculosis stimulated gamma interferon [Interpretation] in Blood Qualitative,,Category,Negative,12156
METHADONEUR//19550-3,Methadone [Presence] in Urine by Screen method,ng/mL,Category,Negative,12041
BARBITUR//19277-3,Barbiturates screen method [Identifier] in Urine,ng/mL,Category,Negative,11928
COCAINEUR//3393-6,Benzoylecgonine [Presence] in Urine,ng/mL,Category,Negative,11881
HEPBCORABTOT//13952-7,Hepatitis B virus core Ab [Presence] in Serum or Plasma by Immunoassay,,Category,Nonreactive,11305
ETHANOLUR//6111-9,Epicoccum purpurascens IgE Ab [Units/volume] in Serum,mg/dL,Category,Negative,11251
LEUKESTUR//105103-6,Leukocyte esterase [Presence] in Urine,,Category,1+,11218
BLDUR//105906-2,Blood [Presence] in Urine,,Category,2+,11166
BENZOUR//19285-6,Benzodiazepines screen method [Identifier] in Urine,ng/mL,Category,Negative,11002
LEUKESTUR//27297-1,Leukocyte esterase [Units/volume] in Urine,,,Negative,10718
OPIATESUR//19301-1,Opiates screen method [Identifier] in Urine,ng/mL,Category,Negative,10670
AMPHMETHUR//16367-5,Deprecated Amphetamine/Methamphetamine [Mass ratio] in Urine Qualitative,ng/mL,Category,Negative,10663
BLDUR//105906-2,Blood [Presence] in Urine,,Category,3+,10361
PROTCLUR//20454-5,Protein [Presence] in Urine by Test strip,,,Negative,10328
LEUKESTUR//105103-6,Leukocyte esterase [Presence] in Urine,,Category,2+,10236
CANNABUR//19289-8,Cannabinoids [Presence] in Urine by Confirmatory method,ng/mL,Category,Negative,9474
KETONESUR//2514-8,Ketones [Presence] in Urine by Test strip,,Category,Trace,9037
WBCSUR//63555-7,Leukocytes [#/volume] by Microscopy high power field in Urine sediment collected for unspecified duration,cells/uL,Number,>1000,8669
WBCHPF//5821-4,Leukocytes [#/area] in Urine sediment by Microscopy high power field,cells/HPF,Number,>200,8446
BACULUR//630-4,Bacteria identified in Urine by Culture,,Category,">100,000 CFU/mL Escherichia coli",8222
CMVQPCRALPHA//30246-3,Cytomegalovirus DNA [Presence] in Serum or Plasma by NAA with probe detection,,Category,Detected,7488
HEPBCORABIGM//22319-8,Hepatitis B virus core IgM Ab [Units/volume] in Serum,,Category,Nonreactive,7435
PROCAL//33959-8,Procalcitonin [Mass/volume] in Serum or Plasma,ug/L,Number,<0.10,7427
ALBUMINUR//1754-1,Albumin [Mass/volume] in Urine,mg/L,Number,<12.0,7087
ALT//1743-4,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma by With P-5'-P,U/L,Number,<5,6938
KETONESUR//2514-8,Ketones [Presence] in Urine by Test strip,,Category,1+,6709
O2SATART//28642-7,Oxygen saturation in Arterial cord blood,%,Number,>100.0,6416
COCCIABIGG//13947-7,Coccidioides immitis IgG Ab [Presence] in Serum by Immunoassay,,Number,<0.150,6309
HEPBSURABQ//16935-9,Hepatitis B virus surface Ab [Units/volume] in Serum,IU/L,Number,<10,6146
COCCIABIGM//13948-5,Coccidioides immitis IgM Ab [Presence] in Serum by Immunoassay,,Number,<0.150,6132
GYNINT//33717-0,Cervical AndOr vaginal cytology study,,Category,Negative for Intraepithelial Lesion or Malignancy.,6003
HCVQPCRALPHA//5012-0,Hepatitis C virus RNA [Presence] in Specimen by NAA with probe detection,,Category,Not Detected,5799
O2SATPOC//20564-1,Oxygen saturation in Blood,%,Number,>100.0,5597
GLUCOSEUR//2349-9,Glucose [Presence] in Urine,,Category,4+,5597
RBCSUR//105108-5,Erythrocytes [#/volume] in Urine sediment,cells/uL,Number,>1000,5520
RBCHPF//13945-1,Erythrocytes [#/area] in Urine sediment by Microscopy high power field,cells/HPF,Number,>210,5423
COVID19QLPCR//94500-6,SARS-CoV-2 (COVID-19) RNA [Presence] in Respiratory system specimen by NAA with probe detection,,,Negative,5419
NARANUR//2955-3,Sodium [Moles/volume] in Urine,mmol/L,Number,<20,5110
RPR//31147-2,Reagin Ab [Titer] in Serum by RPR,,Category,Nonreactive,5056
DSDNAAB//5130-0,DNA double strand Ab [Units/volume] in Serum,IU/mL,Number,<=200,5037
PROTCLUR//20454-5,Protein [Presence] in Urine by Test strip,,Category,3+,5027
APTT//14979-9,aPTT in Platelet poor plasma by Coagulation assay,seconds,Number,<24.0,4976
CARBHGBPOC//2031-3,Carboxyhemoglobin/Hemoglobin.total in Capillary blood,%,Number,<2.0,4975
GLUCOSEUR//2349-9,Glucose [Presence] in Urine,,Category,1+,4929
COVID19QLPCR//94309-2,SARS-CoV-2 (COVID-19) RNA [Presence] in Specimen by NAA with probe detection,,Category,Detected,4915
VZVAB//15410-4,Varicella zoster virus IgG Ab [Presence] in Serum by Immunoassay,,Category,Positive,4884
MEASLESAB//35275-7,Measles virus IgG Ab [Presence] in Serum by Immunoassay,,Category,Positive,4875
HEPAABIGM//13950-1,Hepatitis A virus IgM Ab [Presence] in Serum or Plasma by Immunoassay,,Category,Nonreactive,4805
PREGTESTBLD//2118-8,Choriogonadotropin (pregnancy test) [Presence] in Serum or Plasma,,Category,Negative,4784
FUCULRSP//577-7,Fungus identified in Sputum by Culture,,Category,Negative,4734
PO2VEN//2705-2,Oxygen [Partial pressure] in Venous blood,mm Hg,Number,<30,4699
ANAAB//42254-3,Nuclear Ab [Presence] in Serum by Immunofluorescence,titer,Category,<1:40,4521
RUBELLAB//8014-3,Rubella virus IgG Ab [Units/volume] in Serum,,Category,Reactive,4426
GLUCOSEUR//2349-9,Glucose [Presence] in Urine,,Category,3+,4279
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,30%,4218
HBVQPCRALPHA//5009-6,Hepatitis B virus DNA [Presence] in Specimen by NAA with probe detection,,Category,Not Detected,4191
NITRITEUR//32710-6,Nitrite [Presence] in Urine,,Category,2+,3905
BACULUR//630-4,Bacteria identified in Urine by Culture,,,NO GROWTH AT 1:1000 DILUTION,3865
TROPONIN//89579-7,Troponin I.cardiac [Mass/volume] in Serum or Plasma by High sensitivity method,ng/L,Number,<4,3823
GLUCOSEUR//2349-9,Glucose [Presence] in Urine,,Category,Trace,3810
GFRESTAA//48643-1,"Glomerular filtration rate/1.73 sq M.predicted among blacks [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (MDRD)",,,>89,3707
CMVIGG//13949-3,Cytomegalovirus IgG Ab [Presence] in Serum or Plasma by Immunoassay,,Category,Positive,3558
SPUTSCN//14327-1,Epithelial cells.squamous [Presence] in Sputum by Light microscopy,,Category,<10 Epithelial cells per low power field,3543
PROTCLUR//20454-5,Protein [Presence] in Urine by Test strip,,,1+,3352
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,40%,3325
TROPONIN//10839-9,Troponin I.cardiac [Mass/volume] in Serum or Plasma,ng/mL,,<0.04,3244
CMVIGM//24119-0,Cytomegalovirus IgM Ab [Presence] in Serum or Plasma by Immunoassay,,Category,Negative,3215
CREAT//2160-0,Creatinine [Mass/volume] in Serum or Plasma,mg/dL,Number,<0.10,3154
CANCA//14277-8,Neutrophil cytoplasmic Ab.classic [Titer] in Serum by Immunofluorescence,titer,Category,<1:20,3135
SPECGRAVUR//2965-2,Specific gravity of Urine,,Number,<1.005,3093
RHEUMFAC//11572-5,Rheumatoid factor [Units/volume] in Serum or Plasma,IU/mL,Number,<10,3045
PANCA//32787-4,Neutrophil cytoplasmic Ab.perinuclear [Titer] in Serum,titer,Category,<1:20,2995
HAPTOGLOB//4542-7,Haptoglobin [Mass/volume] in Serum or Plasma,mg/dL,Number,<10,2933
PROT3ABBF//29644-2,Proteinase 3 [Presence] in Serum by Immunoassay,CU,Number,<20.0,2915
HIVQPCRALPHA//20447-9,HIV 1 RNA [#/volume] (viral load) in Serum or Plasma by NAA with probe detection,,Category,Not Detected,2873
PROTCLUR//20454-5,Protein [Presence] in Urine by Test strip,,,Trace,2837
FECALBLDIA//29771-3,Hemoglobin.gastrointestinal.lower [Presence] in Stool by Immunoassay,,Category,Negative,2810
MPOABBF//29643-4,Myeloperoxidase Ab [Presence] in Serum by Immunoassay,CU,Number,<20.0,2783
CMVQPCR//30247-1,Cytomegalovirus DNA [#/volume] (viral load) in Serum or Plasma by NAA with probe detection,IU/mL,,NOT DETECTED,2744
CANNABUR//19289-8,Cannabinoids [Presence] in Urine by Confirmatory method,ng/mL,Category,Positive,2713
ALCETHYL//14336-2,Ethanol [Mass/volume] in Serum or Plasma by Gas chromatography,mg/dL,Number,<15,2710
SSBAB//45142-7,Sjogrens syndrome-B extractable nuclear Ab [Units/volume] in Serum by Immunoassay,U,Number,<20,2706
ANAAB//42254-3,Nuclear Ab [Presence] in Serum by Immunofluorescence,titer,Category,Positive,2683
CRYPTAGBLD//29903-2,Cryptococcus sp Ag [Presence] in Serum by Immunoassay,,Category,Negative,2668
BACULRSP//6460-0,Bacteria identified in Sputum by Culture,,Category,"Normal respiratory tract flora isolated. No clinically significant Staphylococcus aureus/MRSA, or Pseudomonas aeruginosa isolated.",2644
GLUCOSEUR//2349-9,Glucose [Presence] in Urine,,Category,2+,2619
METHGBPOC//2614-6,Methemoglobin/Hemoglobin.total in Blood,%,Number,<1.0,2585
BACULUR//630-4,Bacteria identified in Urine by Culture,,Category,Contamination suspected; Submit new specimen,2579
KETONESUR//2514-8,Ketones [Presence] in Urine by Test strip,,Category,2+,2529
SSAAB//33569-5,Sjogrens syndrome-A extractable nuclear Ab [Units/volume] in Serum by Immunoassay,U,Number,<20,2512
GLUCOSEUR//2350-7,Glucose [Mass/volume] in Urine,,,Negative,2447
ASPERGAGEIA//44357-2,Galactomannan Ag [Units/volume] in Serum or Plasma by Immunoassay,,Number,<0.50,2445
FOLATE//2284-8,Folate [Mass/volume] in Serum or Plasma,ng/mL,Number,>40.0,2440
KETONESUR//5797-6,Ketones [Mass/volume] in Urine by Test strip,,,Negative,2413
CMVQLPCR//5000-5,Cytomegalovirus DNA [Presence] in Specimen by NAA with probe detection,,Category,Not Detected,2358
OXYHGBPOC//11559-2,Fractional oxyhemoglobin in Blood,%,Number,>98.5,2348
ENDOMAB//10863-9,Endomysium IgA Ab [Titer] in Serum,titer,Category,<1:10,2263
HISTOPLSMAAG//44525-4,Histoplasma capsulatum Ag [Presence] in Serum by Immunoassay,ng/mL,,NONE DETECTED,2214
HELPYLAGSTL//17780-8,Helicobacter pylori Ag [Presence] in Stool by Immunoassay,,Category,Negative,2177
THYGLOBAB//8098-6,Thyroglobulin Ab [Units/volume] in Serum or Plasma,IU/mL,Number,<0.9,2159
BACULUR//630-4,Bacteria identified in Urine by Culture,,,: ...,2154
UASQUAMEPI//30383-4,Epithelial cells [#/volume] in Urine,cells/uL,Number,<1,2154
PROTUR//20454-5,Protein [Presence] in Urine by Test strip,,,neg,2137
BILICON//15152-2,Bilirubin.conjugated [Mass/volume] in Serum or Plasma,mg/dL,,<0.2,2127
BACULUR//630-4,Bacteria identified in Urine by Culture,,Category,">100,000 CFU/mL Klebsiella pneumoniae",2121
GLIADINIGG//20496-6,Gliadin IgG Ab [Units/volume] in Serum by Immunoassay,CU,Number,<20.0,2097
CMVQPCR//30247-1,Cytomegalovirus DNA [#/volume] (viral load) in Serum or Plasma by NAA with probe detection,,Number,<35,2085
HEPAABTOT//13951-9,Hepatitis A virus Ab [Presence] in Serum by Immunoassay,,Category,Reactive,2085
CMVQPCR//30247-1,Cytomegalovirus DNA [#/volume] (viral load) in Serum or Plasma by NAA with probe detection,,Number,<137,2080
CMVQPCRLOG//96396-7,Cytomegalovirus DNA [log units/volume] (viral load) in Specimen by NAA with probe detection,,Number,<1.54,2076
GLIADINIGA//20495-8,Gliadin IgA Ab [Units/volume] in Serum by Immunoassay,CU,Number,<20.0,2074
PHUR//5803-2,pH of Urine by Test strip,,,=<5.0,2066
BUN//3094-0,Urea nitrogen [Mass/volume] in Serum or Plasma,mg/dL,Number,<2,2051
BACULRSP//6460-0,Bacteria identified in Sputum by Culture,,Category,Normal respiratory tract flora isolated,2043
BILIUR//1977-8,Bilirubin.total [Presence] in Urine,,,Negative,2040
LEUKESTUR//20408-1,Leukocytes [#/volume] in Urine by Test strip,,,Negative,2034
TACROLIMUS//74096-9,Tacrolimus [Mass/volume] in Blood by Immunoassay,ng/mL,Number,<0.5,2028
CARDLIPIGA//5076-5,Cardiolipin IgA Ab [Units/volume] in Serum by Immunoassay,CU,Number,<20.0,2011
CARDLIPIGM//3181-5,Cardiolipin IgG Ab [Units/volume] in Serum by Immunoassay,CU,Number,<20.0,1999
ALBCREATUR//30000-4,Microalbumin/Creatinine [Ratio] in Urine,,,...,1975
SPUTSCN//14327-1,Epithelial cells.squamous [Presence] in Sputum by Light microscopy,,Category,>10 Epithelial cells per low power field,1969
PROTCLUR//20454-5,Protein [Presence] in Urine by Test strip,,,2+,1969
NITRITEUR//32710-6,Nitrite [Presence] in Urine,,Category,1+,1898
BLDUR//20409-9,Erythrocytes [#/volume] in Urine by Test strip,,,1+,1874
B2GLYPROIGG//44448-9,Beta 2 glycoprotein 1 IgG Ab [Units/volume] in Serum or Plasma by Immunoassay,SGU,,<10,1852
EBVVCAIGG//24114-1,Epstein Barr virus capsid IgG Ab [Presence] in Serum by Immunoassay,,Category,Positive,1833
CARDLIPIGG//3181-5,Cardiolipin IgG Ab [Units/volume] in Serum by Immunoassay,CU,Number,<20.0,1828
FUCULRSP//577-7,Fungus identified in Sputum by Culture,,Category,Candida albicans,1823
BILIUR//1977-8,Bilirubin.total [Presence] in Urine,,Category,1+,1822
SMAB//9722-0,Smith extractable nuclear Ab [Titer] in Serum,U,Number,<20,1798
BACULUR//630-4,Bacteria identified in Urine by Culture,,,NO SIGNIFICANT GROWTH,1793
NITRITEUR//32710-6,Nitrite [Presence] in Urine,,Category,Positive,1780
MRSASRV//6463-4,Bacteria identified in Specimen by Culture,,,NO METHICILLIN-RESISTANT STAPH AUREUS ISOLATED,1771
RNPAB//51928-0,Ribonucleoprotein extractable nuclear Ab [Units/volume] in Serum by Immunoassay,U,Number,<20,1723
BACULBLD//600-7,Bacteria identified in Blood by Culture,,Category,Staphylococcus epidermidis,1721
VANCORAND//20578-1,Vancomycin [Mass/volume] in Serum or Plasma,mcg/mL,Number,<4.0,1717
B2GLYPROIGA//21108-6,Beta 2 glycoprotein 1 IgA Ab [Units/volume] in Serum,SAU,,<10,1710
CRP//1988-5,C reactive protein [Mass/volume] in Serum or Plasma,mg/dL,,<0.3,1708
GYNINT//33717-0,Cervical AndOr vaginal cytology study,,Category,Negative for Intraepithelial Lesion or Malignancy,1703
B2GLYPROIGM//44449-7,Beta 2 glycoprotein 1 IgM Ab [Units/volume] in Serum or Plasma by Immunoassay,SMU,,<10,1693
PROTCLUR//20454-5,Protein [Presence] in Urine by Test strip,,,NEGATIVE,1690
HCGINTABETA//45194-8,Choriogonadotropin.intact+Beta subunit [Units/volume] in Serum or Plasma,mIU/ml,Number,<1,1672
APTT//14979-9,aPTT in Platelet poor plasma by Coagulation assay,seconds,Number,>180.0,1636
LEGIONURAG//32781-7,Legionella sp Ag [Presence] in Urine,,Category,Negative,1619
BACULRSP//6460-0,Bacteria identified in Sputum by Culture,,Category,Negative,1606
CMVIGG//13949-3,Cytomegalovirus IgG Ab [Presence] in Serum or Plasma by Immunoassay,,Category,Negative,1604
MTBQFNGOLD//39017-9,Mycobacterium tuberculosis tuberculin stimulated gamma interferon/Mitogen stimulated gamma interferon in Blood,,Category,Negative,1575
BLDUR//20409-9,Erythrocytes [#/volume] in Urine by Test strip,,,Trace,1570
COVID19QLPCR//94500-6,SARS-CoV-2 (COVID-19) RNA [Presence] in Respiratory system specimen by NAA with probe detection,,,Not Detected,1543
HEPANTIXAUFH//3274-8,Heparin unfractionated [Units/volume] in Platelet poor plasma by Chromogenic method,IU/mL,Number,>1.10,1542
TOXOPLIGG//5388-4,Toxoplasma gondii IgG Ab [Units/volume] in Serum or Plasma by Immunoassay,IU/mL,Number,<6.4,1539
AMPHMETHUR//16367-5,Deprecated Amphetamine/Methamphetamine [Mass ratio] in Urine Qualitative,ng/mL,Category,Positive,1535
OPIATESUR//19301-1,Opiates screen method [Identifier] in Urine,ng/mL,Category,Positive,1531
LEUKESTUR//27297-1,Leukocyte esterase [Units/volume] in Urine,,,3+,1513
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,50%,1502
HEPBCORABTOT//13952-7,Hepatitis B virus core Ab [Presence] in Serum or Plasma by Immunoassay,,Category,Reactive,1480
MTBQFNGOLD//71773-6,Mycobacterium tuberculosis stimulated gamma interferon [Interpretation] in Blood Qualitative,,Category,INDETERMINATE-IMPAIRED,1462
AFP//1834-1,Alpha-1-Fetoprotein [Mass/volume] in Serum or Plasma,ng/mL,Number,<1.8,1447
TSH//11579-0,Thyrotropin [Units/volume] in Serum or Plasma by Detection limit <= 0.05 mIU/L,mcIU/mL,Number,<0.02,1374
ADENOQNLCPML//64038-3,Adenovirus DNA [Log #/volume] (viral load) in Specimen by NAA with probe detection,log cpy/mL,,<3.0,1326
NDNAABIFA//6457-6,DNA double strand Ab [Presence] in Serum by Immunofluorescence (IF) Crithidia luciliae,titer,Category,<1:10,1318
EOSUR//20472-7,Eosinophils [Presence] in Specimen by Wright stain,,Category,Negative:  No eosinophils seen.,1316
HEPBSURAG//5196-1,Hepatitis B virus surface Ag [Presence] in Serum or Plasma by Immunoassay,,,Nonreactive,1270
LEUKESTUR//27297-1,Leukocyte esterase [Units/volume] in Urine,,,Trace,1270
HEPBSURABQ//16935-9,Hepatitis B virus surface Ab [Units/volume] in Serum,mIU/mL,Number,<8.5,1269
LEUKESTUR//27297-1,Leukocyte esterase [Units/volume] in Urine,,,1+,1257
COVID19QLPCR//94500-6,SARS-CoV-2 (COVID-19) RNA [Presence] in Respiratory system specimen by NAA with probe detection,,,NOT DETECTED,1239
RPR//20507-0,Reagin Ab [Presence] in Serum by RPR,,,NONREACTIVE,1236
EBVVCAIGM//24115-8,Epstein Barr virus capsid IgM Ab [Presence] in Serum by Immunoassay,,Category,Negative,1235
HCVABSCN//13955-0,Hepatitis C virus Ab [Presence] in Serum or Plasma by Immunoassay,,,Nonreactive,1216
BACULRSP//6460-0,Bacteria identified in Sputum by Culture,,Category,Moderate Pseudomonas aeruginosa,1209
FUCULBLD//601-5,Fungus identified in Blood by Culture,,,NEGATIVE,1204
TOBRARAND//35670-9,Tobramycin [Mass/volume] in Serum or Plasma,mcg/mL,Number,<0.6,1204
EBVQPCR//32585-2,Epstein Barr virus DNA [#/volume] (viral load) in Specimen by NAA with probe detection,,,NOT DETECTED,1201
BENZOUR//19285-6,Benzodiazepines screen method [Identifier] in Urine,ng/mL,Category,Positive,1199
VITAMINB12//2170-9,Deprecated Cobalamin [Mass/volume] in Serum,pg/mL,Number,>4000,1197
ADENOQNCPML//49340-3,Adenovirus DNA [#/volume] (viral load) in Specimen by NAA with probe detection,cpy/mL,,<1000,1169
RBCFLD//6741-3,Erythrocytes [#/volume] in Body fluid by Manual count,/cmm,Number,<1000,1160
PSATOTAL//2857-1,Prostate specific Ag [Mass/volume] in Serum or Plasma,ng/mL,Number,<0.01,1151
BLDUR//20409-9,Erythrocytes [#/volume] in Urine by Test strip,,,2+,1144
BACULUR//630-4,Bacteria identified in Urine by Culture,,Category,"100,000 CFU/mL Escherichia coli",1096
PROTUR//2888-6,Protein [Mass/volume] in Urine,mg/dL,Number,<4,1094
FUCUL//580-1,Fungus identified in Specimen by Culture,,Category,Candida albicans,1077
BACULRSP//6460-0,Bacteria identified in Sputum by Culture,,Category,Few Lactose Negative Gram Negative Rod,1073
HEPPLTAB//3266-4,Deprecated Heparin Ab [Threshold] in Platelet poor plasma by Platelet aggregation,,Category,Negative,1068
SPECGRAVUR//2965-2,Specific gravity of Urine,,Number,>1.060,1039
LEUKESTUR//27297-1,Leukocyte esterase [Units/volume] in Urine,,,2+,1032
BACULBLD//600-7,Bacteria identified in Blood by Culture,,Category,Escherichia coli,1032
RBCCSF//792-2,Erythrocytes [#/volume] in Cerebral spinal fluid by Manual count,/cmm,Number,<1,1016
GLUCOSEPOC//2339-0,Glucose [Mass/volume] in Blood,mg/dL,Number,>600,1011
EBNAIGG//5156-5,Epstein Barr virus nuclear IgG Ab [Presence] in Serum by Immunoassay,,Category,Positive,1011
WBCCSF//806-0,Leukocytes [#/volume] in Cerebral spinal fluid by Manual count,/cmm,Number,<1,1011
DDIMER//48065-7,Fibrin D-dimer FEU [Mass/volume] in Platelet poor plasma,ug/mL FEU,Number,<0.27,991
BACULUR//630-4,Bacteria identified in Urine by Culture,,Category,">100,000 CFU/mL Proteus mirabilis",977
BACULRSP//6460-0,Bacteria identified in Sputum by Culture,,Category,Few Probable candida albicans,976
HIVABSCN//7918-6,HIV 1+2 Ab [Presence] in Serum,,,NONREACTIVE,959
TESTOS//2986-8,Testosterone [Mass/volume] in Serum or Plasma,ng/dL,Number,<6,949
BACULUR//630-4,Bacteria identified in Urine by Culture,,Category,">100,000 CFU/mL Pseudomonas aeruginosa",934
PREGTESTUR//2106-3,Choriogonadotropin (pregnancy test) [Presence] in Urine,,,NEGATIVE,933
HCVABSCN//13955-0,Hepatitis C virus Ab [Presence] in Serum or Plasma by Immunoassay,,Category,Reactive,929
ETHANOLUR//6111-9,Epicoccum purpurascens IgE Ab [Units/volume] in Serum,mg/dL,Category,Positive,929
ESTRADIOL//2243-4,Estradiol (E2) [Mass/volume] in Serum or Plasma,pg/mL,Number,<12,928
HIVQPCRALPHA//20447-9,HIV 1 RNA [#/volume] (viral load) in Serum or Plasma by NAA with probe detection,,Category,Detected,916
KETONESUR//2514-8,Ketones [Presence] in Urine by Test strip,,Category,4+,911
CARDLIPIGA//5076-5,Cardiolipin IgA Ab [Units/volume] in Serum by Immunoassay,APL,Number,<12,898
EBVQPCR//32585-2,Epstein Barr virus DNA [#/volume] (viral load) in Specimen by NAA with probe detection,,Number,<500,884
